3631,0,0,0,39,0,0,0,0,0,468,0,0,0,0,0,0,0,0,0,73,0,9,0,0,0,0,0,0,0,30,2,0,0,0,0,0,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,645,16,1992_1997
187514,686,0,0,2989,0,0,0,0,896,80340,586,1,174,0,0,0,0,0,1,46594,0,78,0,0,0,0,0,4,0,1061,16,0,0,0,0,0,18081,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,97,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,20,0,0,0,2367,17,1992_1997
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,966,18,1992_1997
15505,104,0,0,1,3,0,0,0,480,316327,62,0,0,321,0,0,0,56,420,69122,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,3,73,1724,0,0,0,19291,0,0,0,0,0,0,0,0,0,617,0,0,0,0,54,0,0,0,0,20042,0,0,0,0,0,0,0,0,0,244,19,1992_1997
538453,1774,222,32,217,0,88,204,12,139439,7069231,35610,16917,141,14405,87,54,16216,447,3309,1031392,7107,180,103,665,545,446,39,712,258,292732,2,8,0,0,282,0,7858,288,2328,350,96,66,940558,20,11,9,72,56,1743,0,105,5,808831,13307,18,96,0,461,0,82,0,1932,968215,33,0,29,17,8,3,0,0,0,119269,20,1992_1997
157991,467,0,0,199,0,8,0,70,3845,333936,1159,8,38,2,3,6,36,3,8,54244,0,29,0,0,0,0,0,16,0,620,0,0,0,0,0,0,2531,0,1,0,0,0,8919,0,0,0,0,0,0,0,2,0,348,0,9,0,0,0,0,0,0,0,113,0,0,0,0,0,3,0,0,0,2852,21,1992_1997
350504,17,0,0,10,0,0,0,12,172,490853,143,21,68,3464,0,0,0,23,5,402813,0,181,0,1446,147,0,0,17,0,83214,0,0,0,0,0,0,1877,0,16,0,0,83,4975361,0,0,0,0,0,0,0,0,0,6084,0,0,0,0,225,0,11,0,14,101256,0,4,0,0,0,0,8,0,0,4564,22,1992_1997
20297667,63140,66,47,10336,10530,21,266,2796,946845,50571106,91934,63640,3236,113461,24,270,155463,351,1974,4649681,5228,761,154,0,4,681,38,5235,31,1403375,245,139,0,0,7477,0,147351,149549,55899,7334,165,5165,14342217,41,37,4903,198,98,0,0,1576,1,18223,0,114,1019,11,0,0,80,0,0,49095,52,435,2336,12,748,187,62,0,2,1356683,23,1992_1997
19491,914,0,0,4,0,0,0,2,2685,205895,107,0,3,48,0,0,12,0,19,2416,0,2,0,0,0,0,20,283,0,1389,2,0,0,0,0,0,68,0,4,0,0,1,3915,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,17922,24,1992_1997
4305,0,0,0,1,0,0,0,0,0,301100,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,11,922,0,0,6,0,0,0,67395,25,1992_1997
16,0,0,0,1,0,0,0,0,0,828,0,0,9,0,0,0,0,0,0,141,0,1,0,0,0,0,0,22,0,282,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2501,26,1992_1997
